en	103481415
es	21758136
fr	20715787
ru	20668766
de	18328800
sh	15456247
fa	15038421
sv	13418601
pt	9753615
zh	9360480
ja	9166863
nl	8552080
it	8449070
ceb	6941470
war	6679077
sr	6027857
pl	5288389
uk	5232209
ar	4261388
ca	4084723
id	3458171
ro	3421422
tr	3259530
ko	3205734
no	3134607
fi	2997314
uz	2800725
cs	2707991
hu	2272527
vi	2233377
he	2000812
hy	1988703
eo	1749207
da	1638022
bg	1334966
et	1183420
lt	1027003
el	879167
vo	866060
sk	789083
sl	787294
eu	753093
nn	752246
kk	680354
hr	632104
hi	627563
simple	595028
ms	530075
gl	522510
min	16567
